,Constract,O_Time,O_price,C_Time,C_price,Proportion,Cost,Volume,Stop loss,Lock in gain,Fee,Profit,Cash
14,BTCUSDT,1504774800000.0,4539.19,1505023200000.0,4047.49,0.5_0.2116,-1000.0,0,4766.1494999999995,4085.2709999999997,1.3241736961880863,106.99911746368839,8775.792464922739
15,BTCUSDT,1504778400000.0,4580.78,1505019600000.0,4119.0,0.75_0.3021,-1000.0,0,4809.8189999999995,4122.702,1.3294342884836206,99.47872502062957,7775.79246492274
16,ETHUSDT,1504803600000.0,334.52,1504879200000.0,299.26,1.0_0.3772,-1000.0,0,351.246,301.068,1.3262166686595718,104.07854238909484,6775.79246492274
17,BTCUSDT,1505224800000.0,4266.32,1505271600000.0,4026.5,-0.25_0.1091,1000.0,0,4053.0039999999995,4692.952,1.3606513341709014,-57.57303109002597,9086.348849796152
18,BTCUSDT,1505232000000.0,4249.49,1505271600000.0,4026.5,-0.25_0.1091,991.204864314395,0,4037.0154999999995,4674.439,1.3512777019153128,-53.364289308829775,8095.150142076737
19,BTCUSDT,1505584800000.0,3626.48,1505739600000.0,4050.0,-1.0_0.3772,1000.0,0,3445.156,3989.128,1.4817497959453796,115.30367298316818,8975.411529397295
20,BTCUSDT,1505588400000.0,3681.0,1505739600000.0,4050.0,-0.75_0.3021,1000.0,0,3496.95,4049.1000000000004,1.4701711491442544,98.77432762836187,7975.411529397296
21,ETHUSDT,1505588400000.0,253.04,1505703600000.0,285.01,-0.75_0.3021,1000.0,0,240.38799999999998,278.344,1.4884405627568764,124.85522051849522,6975.411529397296
22,BTCUSDT,1505595600000.0,3662.13,1505739600000.0,4050.0,-0.75_0.3021,1000.0,0,3479.0235,4028.3430000000003,1.4741396400455473,104.43963185359338,5975.411529397296
23,BTCUSDT,1505602800000.0,3710.0,1505649600000.0,3499.03,-0.75_0.3021,1000.0,0,3524.5,4081.0000000000005,1.3601943396226415,-58.22542345013478,4975.411529397296
24,BTCUSDT,1505606400000.0,3685.23,1505649600000.0,3499.03,-1.0_0.3772,1000.0,0,3500.9685,4053.753,1.3646317868898277,-51.89065051570729,3975.4115293972964
25,BTCUSDT,1505610000000.0,3670.0,1505739600000.0,4050.0,-0.75_0.3021,1000.0,0,3486.5,4037.0000000000005,1.4724795640326975,102.0697547683924,2975.4115293972964
26,BTCUSDT,1505617200000.0,3641.01,1505739600000.0,4050.0,-0.75_0.3021,899.0662392228004,0,3458.9595,4005.111000000001,1.3293864080481694,99.66157521516429,2076.4159438070396
